Title,Link,Price,Product Rating,Reviewer Count
"Tapatio Chicken Enchiladas Mexican Dinner with Tapatio Hot Sauce Meal, 10 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FTapatio-Chicken-Enchilada%2F5493979104%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=1f9fb35e-f944-4593-9a5e-b2764f1cb021&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=DLsydKJA9cVZPX8pAgv69S3Wi8I7QEpbtBFEmE3aT7TPCvRu8B47F7DfVL-KTjrzJ-XBmLXwSAFis0WEsh00kIAPr_dX8s59o7Xx6jyoyErMQ0qCcjF_f8lEICRpK5lFnoHz58tlVAE4Cc2qKWc5lVz7nzKPeTAZLvxvRyqwslZbTJC01EpGw-nmu3i7Ep6wkWp_6oFq82PTlPU2rak16G7PsNtvbRQ5MfQ0hp5k7Gs&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11185%7Cace3_11188%7Ccoldstart_on%7Csearch_hudson_latency_price_rweb&classType=REGULAR,$5.12,4.1,183
"Pringles Snack Stacks Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPringles-Prg-27ct-6-Flavor-Snack-Stack%2F453387822%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=1f9fb35e-f944-4593-9a5e-b2764f1cb021&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=SN0_mq3677KuNC6xavQ_pe-jh2DkIKEmCfU7jEwQz2fD6MnlrCMk7ZpUtQvasqR9q-vzgH_obBu9igbaK_3EtfwqfH7bnzuMLs1uFhuXGXrGCNRjneReT0NPwkKsYpT9ifS0yUvGhzbtpiUEudp3n6N0KVa2k-G1EHIJL6Nwm8t6EoSlkm_LeE-ZQuql-Fj1b6fOI22j5pRBlbcoqeNDeP9CW0sfUJZnqA0mzTgxc4I&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11185%7Cace3_11188%7Ccoldstart_on%7Csearch_hudson_latency_price_rweb&classType=VARIANT,$13.98,4.3,1058
"CHIPS AHOY! Original Chocolate Chip Cookies, Family Size, 18.2 oz",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FCHIPS-AHOY-Original-Chocolate-Chip-Cookies-Family-Size-18-2-oz%2F23658443%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=1f9fb35e-f944-4593-9a5e-b2764f1cb021&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=TubGJkX7LmxOY64ubcStGFKLfqRxy9pK5Njr42VZPeft7A-anJ2CC4yX66ZTSF1pzzCXzYPl8kFb1tCNkHMmjbF_UXvOGvnHXHwZtWQq9_qZcs2fSgpeS8AdnlYGIcdcbqhSg-GY4Hma6FXzGkw_PeLLjOs7z1Ejk3bhn9SAkDt6EoSlkm_LeE-ZQuql-Fj1b6fOI22j5pRBlbcoqeNDeP9CW0sfUJZnqA0mzTgxc4I&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11185%7Cace3_11188%7Ccoldstart_on%7Csearch_hudson_latency_price_rweb&classType=VARIANT,$4.78,4.2,1558
"Great Value Purified Drinking Water, 16.9 fl oz Bottles, 40 Count",https://www.walmart.com/ip/Great-Value-Purified-Drinking-Water-16-9-fl-oz-Bottles-40-Count/992524020?classType=VARIANT&athbdg=L1600&from=/search,$5.63,3.5,11928
"Great Value Whole Vitamin D Milk, Gallon, Plastic, Jug, 128 Fl Oz",https://www.walmart.com/ip/Great-Value-Milk-Whole-Vitamin-D-Gallon-Plastic-Jug/10450114?classType=REGULAR&athbdg=L1600&from=/search,$4.02,No rating,No reviews
"Fresh Banana, Each",https://www.walmart.com/ip/Fresh-Banana-Fruit-Each/44390948?classType=REGULAR&athbdg=L1600&from=/search,$0.26,No rating,No reviews
"Fresh Long English Cucumber, Each",https://www.walmart.com/ip/Fresh-Long-English-Cucumber-Each/44390996?classType=REGULAR&from=/search,$0.98,No rating,No reviews
"King's Hawaiian Original Hawaiian Sweet Dinner Rolls, 12 Count, 12 Oz",https://www.walmart.com/ip/King-s-Hawaiian-The-Original-Hawaiian-Sweet-Rolls-12-oz/10421729?classType=VARIANT&from=/search,$4.68,No rating,No reviews
"Fresh Roma Tomato, Each",https://www.walmart.com/ip/Fresh-Roma-Tomato-Each/44390944?classType=REGULAR&athbdg=L1600&from=/search,$0.32,No rating,No reviews
"Tapatio Chicken Enchiladas Mexican Dinner with Tapatio Hot Sauce Meal, 10 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FTapatio-Chicken-Enchilada%2F5493979104%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=e3f30be1-95e4-4738-9fd8-4f987467dea2&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=DLsydKJA9cVZPX8pAgv69S3Wi8I7QEpbtBFEmE3aT7TPCvRu8B47F7DfVL-KTjrzXVU988r0tlP4CDcG-orbWuHKhMTWkp5msmI-uKpJRm3zPYIt1Gf8mSzLsPndSuPr658JS86B5Zmmy7CgBP8zt6Ih6yns3m26Li8x45875A7ENFCZe4YjcfM9I3H8R0HkVou3_w1O7zcNkYR_bljlY5J3mITg_xivqsJYeFpsNJI&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_default&classType=REGULAR,$5.12,4.1,183
"SeaPak Crispy Breaded Butterfly Shrimp, Easy to Bake, 18 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FSeaPak-Butterfly-Shrimp-with-Crispy-Breading-Easy-to-Bake-Frozen-18-oz%2F3223705029%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=e3f30be1-95e4-4738-9fd8-4f987467dea2&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=lG-FDk03KDCwyQYmFW7EJk9oziIFuol4Q54RRQPph0_Es4wrhV0fCKgnLOg3kpX1XVU988r0tlP4CDcG-orbWtKktQREt4Hh3MxWePthMhn4Q9q4C0Cz7Af6-kuN7ONUpTXDUr_LeWAamGku0I122SymA2jTMRrC_qe2zz5d__-od5lpfzxoFdwk9t5Vd4yLXYYCjM656y_inA2jBouMCjpYWCu3O7wF62cHVmX9zos&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_default&classType=REGULAR,$8.97,3,61
"Pringles Snack Stacks Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPringles-Prg-27ct-6-Flavor-Snack-Stack%2F453387822%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=e3f30be1-95e4-4738-9fd8-4f987467dea2&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=SN0_mq3677KuNC6xavQ_pe-jh2DkIKEmCfU7jEwQz2fD6MnlrCMk7ZpUtQvasqR9xxYdEXsCStAbuBd8TJwQgP8-ehlKI2SHn0RkkhpGaJQyX6d-0KGnzsZ5BCQRu8x4i6cSqsfl4cUGa35uYhcBlrKNlePqdjHjIl7MF0OdjVzTYao5vdJYlFnzSOO3daOFUnF8xRsoRHv_37Ul5QrxYmCDgIzlW38Eak-HO6vevfo&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_default&classType=VARIANT,$13.98,4.3,1058
"Scott & Jon's Shrimp Scampi Pasta Bowl Frozen Meal, 9.6 oz",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FScott-Jon-s-Shrimp-Scampi-Pasta-Bowl-Frozen-Meal-9-6-oz%2F898730091%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=e3f30be1-95e4-4738-9fd8-4f987467dea2&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=hWqyv-xTIRLIxCT0yyEfT7TGxR4Sz99XiZKtxWWsl0Ly_XGkC2yloY9iKURINryh2DRn4OmRo3gOMLbxu1tDhHAMnm1VV3uE1DRbRUKOFFtkiRWWYV3aKq0AyRbOKvEeTyah57AkrD3np_d9bTqlwp4vncCvEVOuJwXSDpSf0WPENFCZe4YjcfM9I3H8R0HkVou3_w1O7zcNkYR_bljlY5J3mITg_xivqsJYeFpsNJI&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_default&classType=REGULAR,$4.18,3.3,432
"Banquet Family Size Salisbury Steaks and Brown Gravy, Frozen Meal, 27 oz (Frozen)",https://www.walmart.com/ip/Banquet-Family-Size-Salisbury-Steaks-and-Brown-Gravy-Frozen-Meal-27-oz-Frozen/10794571?classType=REGULAR&athbdg=L1600&from=/search,$3.57,No rating,No reviews
"Great Value Zucchini Blend, 10 oz (Frozen)",https://www.walmart.com/ip/Great-Value-Zucchini-Blend-10-oz-Frozen/970864427?classType=REGULAR&athbdg=L1600&from=/search,$2.23,No rating,No reviews
"80% Lean / 20% Fat Ground Beef Chuck, 1 lb Tray, Fresh, All Natural*",https://www.walmart.com/ip/All-Natural-80-Lean-20-Fat-Ground-Beef-Chuck-1-lb-Tray/479601462?classType=REGULAR&athbdg=L1600&from=/search,$6.93,No rating,No reviews
"Kraft Original Mac N Cheese Macaroni and Cheese Dinner, 5 ct Pack, 7.25 oz Boxes",https://www.walmart.com/ip/Kraft-Original-Mac-N-Cheese-Macaroni-and-Cheese-Dinner-5-ct-Pack-7-25-oz-Boxes/14869676?classType=VARIANT&athbdg=L1600&from=/search,$4.88,No rating,No reviews
"Great Value Frozen Corn on the Cob, Microwaveable, 6 Ct",https://www.walmart.com/ip/Great-Value-Frozen-Corn-on-the-Cob-Microwaveable-6-Ct/259683648?classType=REGULAR&athbdg=L1600&from=/search,$2.12,No rating,No reviews
"Banquet Chicken Pot Pie, Frozen Pot Pie Dinner, 7 oz (frozen)",https://www.walmart.com/ip/Banquet-Chicken-Pot-Pie-7-Oz/10794554?classType=REGULAR&athbdg=L1600&from=/search,$1.06,No rating,No reviews
"Tapatio Chicken Enchiladas Mexican Dinner with Tapatio Hot Sauce Meal, 10 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FTapatio-Chicken-Enchilada%2F5493979104%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=a1272204-aae4-4c55-8ac0-02dee3f7ef96&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=DLsydKJA9cVZPX8pAgv69S3Wi8I7QEpbtBFEmE3aT7TPCvRu8B47F7DfVL-KTjrzHPDk0dtvZe04zepBBZlO7Oy5fV9LngSoI1E5-n4bR27bG6Armj30fqrCHBwc20dJeNcNFZcEdkkNqqGoS6T8u6Wx8bFDD2LCF0CwpJUE0pzUbNQcqqoGglTuMh92vLyXZOVKVN7iZqSiPWzY2i5thOqeUkuzemiGjAkJEVPvpWU&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_off%7Csearch_default&classType=REGULAR,$5.12,4.1,183
"SeaPak Crispy Breaded Butterfly Shrimp, Easy to Bake, 18 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FSeaPak-Butterfly-Shrimp-with-Crispy-Breading-Easy-to-Bake-Frozen-18-oz%2F3223705029%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=a1272204-aae4-4c55-8ac0-02dee3f7ef96&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=lG-FDk03KDCwyQYmFW7EJk9oziIFuol4Q54RRQPph0_Es4wrhV0fCKgnLOg3kpX1XVU988r0tlP4CDcG-orbWvWBq3gULF16J-NfLuLYA234Q9q4C0Cz7Af6-kuN7ONUSNlOAMEd6vRS_6F70HoBSCB1NnZYPHiJdlw4T55-dQ6od5lpfzxoFdwk9t5Vd4yLXYYCjM656y_inA2jBouMCjpYWCu3O7wF62cHVmX9zos&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_off%7Csearch_default&classType=REGULAR,$8.97,3,61
"Pringles Snack Stacks Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPringles-Prg-27ct-6-Flavor-Snack-Stack%2F453387822%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=a1272204-aae4-4c55-8ac0-02dee3f7ef96&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=SN0_mq3677KuNC6xavQ_pe-jh2DkIKEmCfU7jEwQz2fD6MnlrCMk7ZpUtQvasqR9xxYdEXsCStAbuBd8TJwQgFRFdip5uzo4iTHSLWyQw9cyX6d-0KGnzsZ5BCQRu8x4Tm-E3oXgp4iVH9Q6Wpb57_u0-Osd4xR6g5-uTI6zKYp6EoSlkm_LeE-ZQuql-Fj1b6fOI22j5pRBlbcoqeNDeP9CW0sfUJZnqA0mzTgxc4I&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_off%7Csearch_default&classType=VARIANT,$13.98,4.3,1058
"Scott & Jon's Shrimp Scampi Pasta Bowl Frozen Meal, 9.6 oz",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FScott-Jon-s-Shrimp-Scampi-Pasta-Bowl-Frozen-Meal-9-6-oz%2F898730091%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=a1272204-aae4-4c55-8ac0-02dee3f7ef96&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=hWqyv-xTIRLIxCT0yyEfT7TGxR4Sz99XiZKtxWWsl0Ly_XGkC2yloY9iKURINryh2DRn4OmRo3gOMLbxu1tDhM7B64GQ7io1zT0v9JjMmhlkiRWWYV3aKq0AyRbOKvEeMV2xztXc1ycwZ1U5JCdvM4mRJhXtBQRsCywSetTsnAmLY_CfABXRXIcPcCU4gX4XN2UTE_gxBOGCrtwCz67v7du_EyYACHduL7UN7Wscj4A&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_off%7Csearch_default&classType=REGULAR,$4.18,3.3,432
"HORMEL Chili with Beans, No Artificial Ingredients, 15 oz Steel Can",https://www.walmart.com/ip/Hormel-w-Beans-Chili-15-Oz/10290952?classType=VARIANT&athbdg=L1600&from=/search,$2.58,No rating,No reviews
"Fresh Seedless Watermelon, Each",https://www.walmart.com/ip/Fresh-Seedless-Watermelon-Each/44391101?classType=REGULAR&athbdg=L1600&from=/search,$6.38,No rating,No reviews
"Tyson Frozen Sweet BBQ Flavored Chicken Strips, 1.56 lb Bag",https://www.walmart.com/ip/Tyson-Honey-BBQ-Chicken-Strips-1-56-lb-Bag-Frozen/14149970?classType=REGULAR&from=/search,$8.47,No rating,No reviews
"Green Giant Simply Steam Broccoli & Cheese Sauce, 10 oz Bag (Frozen Vegetables)",https://www.walmart.com/ip/Green-Giant-Simply-Steam-Broccoli-Cheese-Sauce-10-oz-Bag-Frozen-Vegetables/10813707?classType=REGULAR&athbdg=L1600&from=/search,$2.08,No rating,No reviews
