Title,Link,Price,Product Rating,Reviewer Count
"Fresh Cherubs Grape Tomatoes, 10 oz Package",https://www.walmart.com/ip/Fresh-Cherubs-Grape-Tomatoes-10-oz-Package/1918496773?classType=REGULAR&athbdg=L1600&from=/search,$2.98,No rating,No reviews
"Great Value Chicken Breast Patties Breaded, 23.8 oz (Frozen)",https://www.walmart.com/ip/Great-Value-Chicken-Breast-Patties-Breaded-23-8-oz-Frozen/13023475?classType=REGULAR&from=/search,$5.74,No rating,No reviews
"Tapatio Chicken Enchiladas Mexican Dinner with Tapatio Hot Sauce Meal, 10 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FTapatio-Chicken-Enchilada%2F5493979104%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=86aa55d5-3da7-4012-b814-e90022ac0a7b&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=DLsydKJA9cVZPX8pAgv69S3Wi8I7QEpbtBFEmE3aT7TPCvRu8B47F7DfVL-KTjrzJ-XBmLXwSAFis0WEsh00kFZNGgZzA1pmDIrytW0nyjbMQ0qCcjF_f8lEICRpK5lFfzzr8KbCxfozjUJZ0YsryV3RQ7_FvSexyfgtrsx5g8BbTJC01EpGw-nmu3i7Ep6wkWp_6oFq82PTlPU2rak16G7PsNtvbRQ5MfQ0hp5k7Gs&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_hudson_latency_price_rweb&classType=REGULAR,$5.12,4.1,183
"Pringles Snack Stacks Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPringles-Prg-27ct-6-Flavor-Snack-Stack%2F453387822%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=86aa55d5-3da7-4012-b814-e90022ac0a7b&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=SN0_mq3677KuNC6xavQ_pe-jh2DkIKEmCfU7jEwQz2fD6MnlrCMk7ZpUtQvasqR9RqFL70UlcLvY1XIaWn28_FZNGgZzA1pmDIrytW0nyjaq2JNFE4jF9ehx9lUEDyxBNO-XU3JOiU2-opoFzj4gwhykDQOhEReIIQLhNxCauuXUbNQcqqoGglTuMh92vLyXZOVKVN7iZqSiPWzY2i5thOqeUkuzemiGjAkJEVPvpWU&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_hudson_latency_price_rweb&classType=VARIANT,$13.98,4.3,1058
"Great Value Frozen Deluxe Stir Fry, Mixed Vegetables, 20 oz Bag",https://www.walmart.com/ip/Great-Value-Frozen-Deluxe-Stir-Fry-Mixed-Vegetables-20-oz-Bag/980539185?classType=REGULAR&from=/search,$2.67,No rating,No reviews
"Maruchan Instant Lunch Chicken Flavor Ramen Noodles, 2.25 oz Shelf Stable Cup",https://www.walmart.com/ip/Maruchan-Instant-Lunch-Chicken-Flavor-Instant-Lunch-2-25-oz/10450893?classType=VARIANT&athbdg=L1600&from=/search,$0.52,4.1,524
"Fresh Jalapeno Pepper, Approx. 3-5 per 0.25 Pound",https://www.walmart.com/ip/Fresh-Jalapeno-Pepper-Approx-3-5-per-0-25-Pound/44391018?classType=REGULAR&athbdg=L1300&from=/search,$0.24,No rating,No reviews
"Fresh Idaho Potatoes, 5 lb Bag",https://www.walmart.com/ip/Fresh-Idaho-Potatoes-5-lb-Bag/10447839?classType=REGULAR&from=/search,$2.68,No rating,No reviews
"Fresh Shredded Carrots, 10 oz Bag",https://www.walmart.com/ip/Fresh-Shredded-Carrots-10-oz-Bag/46491672?classType=REGULAR&from=/search,$1.77,No rating,No reviews
Little Debbie Family Pack Honey Buns,https://www.walmart.com/ip/Snack-Cakes-Little-Debbie-Family-Pack-Honey-Buns/10295207?classType=REGULAR&athbdg=L1600&from=/search,$2.68,No rating,No reviews
"Velveeta Shells and Cheese Original Macaroni and Cheese Dinner, 12 oz Box",https://www.walmart.com/ip/Kraft-Original-Velveeta-Shells-Cheese-12-oz/10295758?classType=VARIANT&athbdg=L1600&from=/search,$3.28,No rating,No reviews
"Boneless Skinless Chicken Thighs Family Pack, 4.7 - 6 lb Tray",https://www.walmart.com/ip/Boneless-Skinless-Chicken-Thighs-Family-Pack-4-7-6-lb-Tray/124782654?classType=REGULAR&athbdg=L1600&from=/search,$14.06,No rating,No reviews
"Tapatio Chicken Enchiladas Mexican Dinner with Tapatio Hot Sauce Meal, 10 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FTapatio-Chicken-Enchilada%2F5493979104%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=6452bc6a-7466-46af-bf88-34a3c9cfdee3&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=DLsydKJA9cVZPX8pAgv69S3Wi8I7QEpbtBFEmE3aT7TPCvRu8B47F7DfVL-KTjrzcpPMJf7E8WRKhdIonu6Lu9WZYuTCPZoTB4Bbfp2nRLnyJL_MVCpan7gmvMAPvswYQc3MS-eaLVry0a7WkpBSSiMQXEsIf93lXcC2mhlY5ZbENFCZe4YjcfM9I3H8R0HkVou3_w1O7zcNkYR_bljlY5J3mITg_xivqsJYeFpsNJI&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11185%7Cace3_11188%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning&classType=REGULAR,$5.12,4.1,183
"SeaPak Crispy Breaded Butterfly Shrimp, Easy to Bake, 18 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FSeaPak-Butterfly-Shrimp-with-Crispy-Breading-Easy-to-Bake-Frozen-18-oz%2F3223705029%3FclassType%3DREGULAR%26athbdg%3DL1600%26adsRedirect%3Dtrue&adUid=6452bc6a-7466-46af-bf88-34a3c9cfdee3&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=lG-FDk03KDCwyQYmFW7EJk9oziIFuol4Q54RRQPph0_Es4wrhV0fCKgnLOg3kpX1XVU988r0tlP4CDcG-orbWptq21O4T8kX3rB5RrJyKxf4Q9q4C0Cz7Af6-kuN7ONUSNlOAMEd6vRS_6F70HoBSCB1NnZYPHiJdlw4T55-dQ6od5lpfzxoFdwk9t5Vd4yLXYYCjM656y_inA2jBouMCjpYWCu3O7wF62cHVmX9zos&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11185%7Cace3_11188%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning&classType=REGULAR&athbdg=L1600,$8.97,3,61
"Pringles Snack Stacks Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPringles-Prg-27ct-6-Flavor-Snack-Stack%2F453387822%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=6452bc6a-7466-46af-bf88-34a3c9cfdee3&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=SN0_mq3677KuNC6xavQ_pe-jh2DkIKEmCfU7jEwQz2fD6MnlrCMk7ZpUtQvasqR9VvkxaB3aWcxwabuOBgJ8QwQLsV0zlfm4tjY_aCwPyGcyX6d-0KGnzsZ5BCQRu8x4uAuHQIxjfBo7xsH4dFhRwByXvYOjN770NEsxzS6eOKt6EoSlkm_LeE-ZQuql-Fj1b6fOI22j5pRBlbcoqeNDeP9CW0sfUJZnqA0mzTgxc4I&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11185%7Cace3_11188%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning&classType=VARIANT,$13.98,4.3,1058
"Scott & Jon's Shrimp Scampi Pasta Bowl Frozen Meal, 9.6 oz",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FScott-Jon-s-Shrimp-Scampi-Pasta-Bowl-Frozen-Meal-9-6-oz%2F898730091%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=6452bc6a-7466-46af-bf88-34a3c9cfdee3&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=hWqyv-xTIRLIxCT0yyEfT7TGxR4Sz99XiZKtxWWsl0Ly_XGkC2yloY9iKURINryh2DRn4OmRo3gOMLbxu1tDhMuTZYcoR9C-IwzIb-eXkGRkiRWWYV3aKq0AyRbOKvEeMV2xztXc1ycwZ1U5JCdvM4mRJhXtBQRsCywSetTsnAmLY_CfABXRXIcPcCU4gX4XN2UTE_gxBOGCrtwCz67v7du_EyYACHduL7UN7Wscj4A&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11185%7Cace3_11188%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning&classType=REGULAR,$4.18,3.3,432
"Asparagus, Bunch",https://www.walmart.com/ip/Fresh-Cut-and-Harvested-Produce-Asparagus-Bunch/44390952?classType=REGULAR&athbdg=L1600&from=/search,$3.67,No rating,No reviews
"Marketside Fresh Asparagus Spears, 10 oz",https://www.walmart.com/ip/Marketside-Fresh-Asparagus-Spears-10-oz/44391242?classType=REGULAR&athbdg=L1600&from=/search,$3.77,No rating,No reviews
"Fresh Green Cabbage, Each",https://www.walmart.com/ip/Fresh-Green-Cabbage-Each/44391042?classType=REGULAR&athbdg=L1600&from=/search,$3.39,No rating,No reviews
"93% Lean / 7% Fat Lean Ground Beef, 1 lb Tray, Fresh, All Natural*",https://www.walmart.com/ip/All-Natural-93-Lean-7-Fat-Lean-Ground-Beef-1-lb-Tray/824841960?classType=REGULAR&athbdg=L1600&from=/search,$7.97,No rating,No reviews
"Organic Fresh Whole Carrots, 2 lb Bag",https://www.walmart.com/ip/Organic-Fresh-Whole-Carrots-2-lb-Bag/51259191?classType=REGULAR&from=/search,$1.96,No rating,No reviews
"Marketside Fresh Celery Sticks, 1.6 oz, 4 Pack",https://www.walmart.com/ip/Marketside-Fresh-Celery-Sticks-1-6-oz-4-Pack/877224146?classType=REGULAR&from=/search,$1.86,No rating,No reviews
"Tapatio Chicken Enchiladas Mexican Dinner with Tapatio Hot Sauce Meal, 10 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FTapatio-Chicken-Enchilada%2F5493979104%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=739dfedf-a13e-44dd-aa29-5b930f1cd6a0&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=DLsydKJA9cVZPX8pAgv69S3Wi8I7QEpbtBFEmE3aT7TPCvRu8B47F7DfVL-KTjrzXVU988r0tlP4CDcG-orbWtFfj9CkJnxeV4QlDbsV1D7zPYIt1Gf8mSzLsPndSuPrQc3MS-eaLVry0a7WkpBSSiMQXEsIf93lXcC2mhlY5ZbENFCZe4YjcfM9I3H8R0HkVou3_w1O7zcNkYR_bljlY5J3mITg_xivqsJYeFpsNJI&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning&classType=REGULAR,$5.12,4.1,183
"SeaPak Crispy Breaded Butterfly Shrimp, Easy to Bake, 18 oz (Frozen)",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FSeaPak-Butterfly-Shrimp-with-Crispy-Breading-Easy-to-Bake-Frozen-18-oz%2F3223705029%3FclassType%3DREGULAR%26athbdg%3DL1600%26adsRedirect%3Dtrue&adUid=739dfedf-a13e-44dd-aa29-5b930f1cd6a0&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=lG-FDk03KDCwyQYmFW7EJk9oziIFuol4Q54RRQPph0_Es4wrhV0fCKgnLOg3kpX1XVU988r0tlP4CDcG-orbWoVD6q6dcVV6cbX4Nz4GWc74Q9q4C0Cz7Af6-kuN7ONUSNlOAMEd6vRS_6F70HoBSCB1NnZYPHiJdlw4T55-dQ6od5lpfzxoFdwk9t5Vd4yLXYYCjM656y_inA2jBouMCjpYWCu3O7wF62cHVmX9zos&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning&classType=REGULAR&athbdg=L1600,$8.97,3,61
"Pringles Snack Stacks Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPringles-Prg-27ct-6-Flavor-Snack-Stack%2F453387822%3FclassType%3DVARIANT%26adsRedirect%3Dtrue&adUid=739dfedf-a13e-44dd-aa29-5b930f1cd6a0&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=SN0_mq3677KuNC6xavQ_pe-jh2DkIKEmCfU7jEwQz2fD6MnlrCMk7ZpUtQvasqR9VvkxaB3aWcxwabuOBgJ8Q6INRfyVbtNsMcAom5wa_QAyX6d-0KGnzsZ5BCQRu8x4kqU6pg0GoPafjYsvnvBJHENWIXCOtz_7Z87Vo-8077HTYao5vdJYlFnzSOO3daOFUnF8xRsoRHv_37Ul5QrxYmCDgIzlW38Eak-HO6vevfo&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning&classType=VARIANT,$13.98,4.3,1058
"Scott & Jon's Shrimp Scampi Pasta Bowl Frozen Meal, 9.6 oz",https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=976759_976791_5295075_8609714&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FScott-Jon-s-Shrimp-Scampi-Pasta-Bowl-Frozen-Meal-9-6-oz%2F898730091%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=739dfedf-a13e-44dd-aa29-5b930f1cd6a0&mloc=sp-search-middle&pltfm=desktop&pgId=groceries&pt=search&spQs=hWqyv-xTIRLIxCT0yyEfT7TGxR4Sz99XiZKtxWWsl0Ly_XGkC2yloY9iKURINryh2DRn4OmRo3gOMLbxu1tDhKZFIa6ntOzor98NSVxdpj1kiRWWYV3aKq0AyRbOKvEeTj6VT-vLW3RPhkdD11pr0C5kv0-_4ZtIFpumXWbOvxaLY_CfABXRXIcPcCU4gX4XN2UTE_gxBOGCrtwCz67v7du_EyYACHduL7UN7Wscj4A&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_11183%7Cace3_11186%7Ccoldstart_on%7Csearch_browse_limited_vip_pinning&classType=REGULAR,$4.18,3.3,432
"Great Value 1% Low-fat Chocolate Milk Gallon, Plastic, Jug, 128 Fl Oz",https://www.walmart.com/ip/Great-Value-Milk-1-Lowfat-Chocolate-Gallon-Plastic-Jug/17248403?classType=REGULAR&athbdg=L1600&from=/search,$3.62,No rating,No reviews
"Great Value Sweet Peas, 32 oz Bag (Frozen)",https://www.walmart.com/ip/Great-Value-Sweet-Peas-32-oz-Bag-Frozen/712949094?classType=REGULAR&from=/search,$2.42,No rating,No reviews
"Birds Eye Broccoli Florets Frozen Vegetables, 52 oz (Frozen)",https://www.walmart.com/ip/Birds-Eye-Broccoli-Florets-Frozen-Vegetables-52-oz-Frozen/10790990?classType=REGULAR&from=/search,$7.27,No rating,No reviews
"Marketside Fresh Sugar Snap Peas, 8 oz",https://www.walmart.com/ip/Marketside-Fresh-Sugar-Snap-Peas-8-oz/13399614?classType=REGULAR&from=/search,$2.47,No rating,No reviews
"Marketside Organic Baby Spinach Salad, 5 oz Clam Shell, Fresh",https://www.walmart.com/ip/Marketside-Organic-Baby-Spinach-Salad-5-oz-Clam-Shell-Fresh/13893733?classType=REGULAR&from=/search,$3.13,No rating,No reviews
"Jimmy Dean Sausage & Gravy Breakfast Bowl, 7 oz (Frozen)",https://www.walmart.com/ip/Jimmy-Dean-Sausage-Gravy-Breakfast-Bowl-7-oz-Frozen/14244840?classType=REGULAR&from=/search,$3.00,No rating,No reviews
